#Name of Area,Total Population,Population Density (per sq. mile),Total Population:,Total Population: Male,Total Population: Female,Median Age:,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More races,Total Population: Hispanic or Latino,Population 25 Years and over:,Population 25 Years and over: Less Than High School,Population 25 Years and over: High School Graduate (includes equivalency),Population 25 Years and over: Some college,Population 25 Years and over: Bachelor's degree,Population 25 Years and over: Master's degree,Population 25 Years and over: Professional school degree,Population 25 Years and over: Doctorate degree,Civilian Population In Labor Force 16 Years And Over:,Civilian Population In Labor Force 16 Years And Over: Employed,Civilian Population In Labor Force 16 Years And Over: Unemployed,Civilian Male In Labor Force 16 Years And Over:,Civilian Male In Labor Force 16 Years And Over: Employed,Civilian Male In Labor Force 16 Years And Over: Unemployed,Civilian Female In Labor Force 16 Years And Over:,Civilian Female In Labor Force 16 Years And Over: Employed,Civilian Female In Labor Force 16 Years And Over: Unemployed,Median household income (In 2012 Inflation Adjusted Dollars),Gini Index,Population Under 18 Years of Age for whom poverty status is determined:,Population Under 18 Years of Age for whom poverty status is determined: Living in Poverty,Population Under 18 Years of Age for whom poverty status is determined: At or Above Poverty Level,Population Age 18 to 64 for whom poverty status  is determined:,Population Age 18 to 64 for whom poverty status  is determined: Living in Poverty,Population Age 18 to 64 for whom poverty status  is determined: At or Above Poverty Level,Population Age 65 and Over for whom poverty  status is determined:,Population Age 65 and Over for whom poverty  status is determined: Living In Poverty,Population Age 65 and Over for whom poverty  status is determined: At or Above Poverty Level
State,TotalPop,PopDensity,SE_T004_001,SE_T004_002,SE_T004_003,MedianAge,SE_T014_001,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T038_001,SE_T038_002,SE_T038_003,SE_T039_001,SE_T039_002,SE_T039_003,MedianIncomeHH,Gini,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003
New York,19398125,411.619,19398125,9391875,10006250,38,19398125,11300531,2803243,45689,1434757,5288,90785,291987,3425845,13101982,1981850,3578443,3245783,2442722,1320436,357042,175706,9943091,9073362,869729,5134945,4663164,471781,4808146,4410198,397948,57683,0.5005,4252153,891923,3360230,12093479,1632167,10461312,2540293,290319,2249974
North Carolina,9544249,196.3114,9544249,4649769,4894480,37.4,9544249,6227534,2021029,103240,209519,4170,16887,165577,796293,6324119,979717,1722998,1924759,1126665,402677,95003,72300,4743685,4246096,497589,2449404,2185553,263851,2294281,2060543,233738,46450,0.4666,2245364,535502,1709862,5837497,904719,4932778,1206606,123243,1083363
North Dakota,676253,9.800655,676253,342030,334223,36.9,676253,600528,7956,35503,6819,360,280,10612,14195,442789,42106,120581,160302,86925,22792,5850,4233,377491,364782,12709,200371,193252,7119,177120,171530,5590,51641,0.4481,147888,21835,126053,412819,46366,366453,91818,10729,81089
Ohio,11533561,282.2654,11533561,5630373,5903188,38.8,11533561,9353385,1385192,17276,194696,1909,13818,212375,354910,7715893,910330,2694883,2202241,1207216,504926,122033,74264,5869359,5300141,569218,3041389,2719872,321517,2827970,2580269,247701,48246,0.455,2675185,593726,2081459,6982608,1003726,5978882,1564775,126033,1438742
Oklahoma,3749005,54.65427,3749005,1855637,1893368,36.3,3749005,2573810,267174,250660,64298,4178,2989,254839,331057,2438321,336888,773447,761486,379676,132273,33773,20778,1812594,1689965,122629,967468,900929,66539,845126,789036,56090,44891,0.4593,910982,213717,697265,2232910,341943,1890967,490774,46938,443836
Oregon,3836628,39.96987,3836628,1899186,1937442,38.4,3836628,3008356,65612,38684,141497,13641,5885,113065,449888,2612044,283302,647185,917646,483035,193598,52297,34981,1953903,1743524,210379,1032733,910343,122390,921170,833181,87989,50036,0.4517,849030,175303,673727,2383060,366081,2016979,530607,42675,487932
Pennsylvania,12699589,283.836,12699589,6190405,6509184,40.1,12699589,10084398,1323455,13575,349487,2448,20217,184110,721899,8658872,1013820,3222376,2080799,1439079,632138,161689,108971,6478705,5930125,548580,3376046,3067420,308626,3102659,2862705,239954,52267,0.4611,2738553,502796,2235757,7659409,943428,6715981,1891215,158240,1732975
Rhode Island,1052471,1018.047,1052471,508521,543950,39.4,1052471,803802,54595,3672,31420,253,7181,20232,131316,709683,108156,195007,188195,131880,61253,15345,9847,565227,511323,53904,286867,257141,29726,278360,254182,24178,56102,0.4634,219691,40317,179374,646285,79065,567220,145161,14080,131081
South Carolina,4630351,154.0334,4630351,2251898,2378453,37.9,4630351,2967590,1281294,13568,57154,1781,5707,70331,232926,3075655,490863,932051,897454,486253,196332,43745,28957,2244057,1995222,248835,1153116,1022532,130584,1090941,972690,118251,44623,0.464,1062298,268467,793831,2803504,453366,2350138,622640,65955,556685
South Dakota,815871,10.76191,815871,409334,406537,37.1,815871,689709,10090,69269,8014,144,738,15129,22778,531773,52522,169564,171164,97147,28292,7730,5354,438374,416687,21687,229603,217091,12512,208771,199596,9175,49091,0.4417,197340,35309,162031,478813,60646,418167,110803,12364,98439
