Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A02002_001,SE_A02002_002,SE_A02002_003,SE_A02002_004,SE_A02002_005,SE_A02002_006,SE_A02002_007,SE_A02002_008,SE_A02002_009,SE_A02002_010,SE_A02002_011,SE_A02002_012,SE_A02002_013,SE_A02002_014,SE_A02002_015,SE_A02002_016,SE_A02002_017,SE_A02002_018,SE_A02002_019,SE_A02002_020,SE_A02002_021,SE_A02002_022,SE_A02002_023,SE_A02002_024,SE_A02002_025,SE_A02002_026,SE_A02002_027
"0422380","32000US0422380","Flagstaff","Flagstaff, AZ Metro Area; Arizona","az","320","00","ACSSF","0007794",,,,,"04",,,,,,,,,,,,,,"22380",,,,,,,,,,,,,,,,,,,,,,,,,,,,141274,69789,4004,3803,4757,2664,13282,10159,7822,7268,7918,5350,2160,602,71485,3758,3666,4247,2405,15608,9309,7524,7421,8676,5538,2468,865
"0429420","32000US0429420","Lake Havasu City-Kingman","Lake Havasu City-Kingman, AZ Metro Area; Arizona","az","320","00","ACSSF","0007795",,,,,"04",,,,,,,,,,,,,,"29420",,,,,,,,,,,,,,,,,,,,,,,,,,,,207695,104944,4817,4997,5509,3264,6916,11298,9886,11601,16070,17527,10480,2579,102751,4292,4671,5635,3181,6022,9884,8958,11822,17489,17645,10013,3139
"0435700","32000US0435700","Nogales","Nogales, AZ Micro Area; Arizona","az","320","00","ACSSF","0007796",,,,,"04",,,,,,,,,,,,,,"35700",,,,,,,,,,,,,,,,,,,,,,,,,,,,46480,22271,1611,1831,1717,1114,2286,2511,2365,2498,2650,2198,1140,350,24209,1700,1833,1728,1176,2182,2483,2809,2911,3038,2474,1318,557
"0437740","32000US0437740","Payson","Payson, AZ Micro Area; Arizona","az","320","00","ACSSF","0007797",,,,,"04",,,,,,,,,,,,,,"37740",,,,,,,,,,,,,,,,,,,,,,,,,,,,53546,26507,1501,1721,1345,903,1796,2664,2319,2815,4051,4398,2328,666,27039,1434,1340,1612,876,1688,2591,2235,2985,4471,4509,2402,896
"0438060","32000US0438060","Phoenix-Mesa-Chandler","Phoenix-Mesa-Chandler, AZ Metro Area; Arizona","az","320","00","ACSSF","0007798",,,,,"04",,,,,,,,,,,,,,"38060",,,,,,,,,,,,,,,,,,,,,,,,,,,,4761603,2366181,155177,159134,170644,99479,226956,353262,313364,296262,261180,197464,102275,30984,2395422,148256,156197,161219,95343,211030,334085,308384,299013,284830,228660,119104,49301
"0439150","32000US0439150","Prescott Valley-Prescott","Prescott Valley-Prescott, AZ Metro Area; Arizona","az","320","00","ACSSF","0007799",,,,,"04",,,,,,,,,,,,,,"39150",,,,,,,,,,,,,,,,,,,,,,,,,,,,228067,111450,5006,5448,5401,3484,8185,10694,9994,11989,17893,20002,10429,2925,116617,4583,5097,5406,3304,6938,10044,10139,12918,21686,21823,10408,4271
"0440940","32000US0440940","Safford","Safford, AZ Micro Area; Arizona","az","320","00","ACSSF","0007800",,,,,"04",,,,,,,,,,,,,,"40940",,,,,,,,,,,,,,,,,,,,,,,,,,,,37996,20325,1423,1293,1634,872,2305,3319,2812,2279,1950,1450,753,235,17671,1342,1319,1504,896,1702,2365,2031,1818,1930,1533,824,407
"0443320","32000US0443320","Show Low","Show Low, AZ Micro Area; Arizona","az","320","00","ACSSF","0007801",,,,,"04",,,,,,,,,,,,,,"43320",,,,,,,,,,,,,,,,,,,,,,,,,,,,109270,54721,3910,4150,4371,2582,4964,6967,5973,6036,6776,5577,2607,808,54549,3820,3962,4261,2394,4331,6225,5815,6159,7512,6014,3015,1041
"0443420","32000US0443420","Sierra Vista-Douglas","Sierra Vista-Douglas, AZ Metro Area; Arizona","az","320","00","ACSSF","0007802",,,,,"04",,,,,,,,,,,,,,"43420",,,,,,,,,,,,,,,,,,,,,,,,,,,,125867,63967,3718,4506,3353,2314,6102,8629,7427,6951,7898,7615,4338,1116,61900,3696,3719,3826,2254,4740,7120,6511,6878,8947,8063,4524,1622
"0446060","32000US0446060","Tucson","Tucson, AZ Metro Area; Arizona","az","320","00","ACSSF","0007803",,,,,"04",,,,,,,,,,,,,,"46060",,,,,,,,,,,,,,,,,,,,,,,,,,,,1027207,505666,29730,30234,31735,19011,62261,67903,58510,56183,60528,52220,28219,9132,521541,28595,29911,29523,18394,60009,62147,58489,58641,68042,60065,33805,13920
