"PUBID","YSAQ-007","YSAQ-009","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!ETHNICITY","KEY!RACE","CV_INCOME_GROSS_YR","CV_HH_NET_WORTH_P","CV_YTH_REL_HH_CURRENT","CV_URBAN-RURAL","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","CV_HGC_RES_DAD","CV_HGC_RES_MOM","FP_YHROUTIN","YPOL-105","YPOL-110","CVC_HIGHEST_DEGREE_EVER"
155,-4,-4,1,2,1980,0,4,-3,-3,1,1,18,14,18,14,-4,1,4,4
156,7,3,1,11,1982,0,4,-3,-3,1,1,18,14,18,14,18,2,4,7
157,5,5,2,3,1982,1,1,72000,34500,1,1,12,12,12,12,17,3,4,4
158,0,5,1,12,1984,1,1,47000,56000,1,1,-3,16,-3,16,13,3,4,4
159,-4,-4,2,1,1980,1,2,21,8200,1,1,10,12,10,12,-4,4,4,2
160,-4,-4,2,1,1981,1,1,5856,3750,4,1,10,9,-4,9,-4,2,1,1
161,0,3,1,1,1982,1,1,5856,3750,4,1,10,9,-4,9,12,2,2,0
162,-4,-4,2,8,1981,0,2,40000,-3,4,1,-4,-3,-4,-3,-4,1,4,4
163,6,0,1,2,1983,0,2,40000,-3,4,1,-4,-3,-4,-3,14,-5,-5,2
164,-4,-4,2,7,1981,0,1,49000,14250,1,1,12,12,12,12,-4,2,1,2
165,-4,-4,1,4,1980,0,1,-4,-4,1,1,12,13,12,13,-4,3,1,4
166,5,2,2,9,1982,0,1,-4,-4,1,1,12,13,12,13,15,3,4,4
167,5,4,1,11,1984,1,1,87000,-3,1,1,12,8,12,8,14,4,5,2
168,-4,-4,1,1,1981,1,1,-3,-3,1,1,12,13,12,13,-4,2,4,2
169,7,5,2,1,1983,0,1,30000,3250,1,1,20,12,20,12,20,2,3,1
170,7,0,2,8,1984,0,1,30000,3250,1,1,20,12,20,12,12,2,4,4
171,7,1,2,7,1984,1,1,54000,38500,1,1,11,12,11,12,16,2,4,2
172,7,2,1,7,1983,0,1,119750,535501,1,0,18,16,18,16,16,-5,-5,0
173,-4,-4,2,6,1980,0,1,104500,-3,1,0,18,16,18,16,-4,-5,-5,2
174,6,3,1,4,1983,0,1,104500,-3,1,0,18,16,18,16,17,-5,-5,2
175,-4,-4,2,10,1981,0,1,-3,-3,1,0,18,16,18,16,-4,-5,-5,4
